"segment_id","forecast_month","gross_recovery_for_month"
"near_prime_q1",10,"14.34392138920000"
"near_prime_q1",11,"69.95644188680000"
"near_prime_q1",12,"158.42858287520000"
"near_prime_q1",13,"203.91931987500000"
"near_prime_q1",14,"245.26434512010000"
"near_prime_q1",15,"306.62551793000000"
"near_prime_q1",16,"372.46742582300000"
"near_prime_q1",17,"410.59184260380000"
"near_prime_q1",18,"452.53847059200000"
"near_prime_q1",19,"546.87064255920000"
"near_prime_q1",20,"619.70909214060000"
"near_prime_q1",21,"681.70923258080000"
"near_prime_q1",22,"730.42168493220000"
"near_prime_q1",23,"777.34428996400000"
"near_prime_q1",24,"839.06983216080000"
"near_prime_q1",25,"894.05042835540000"
"near_prime_q1",26,"930.11035567930000"
"near_prime_q1",27,"948.20471742600000"
"near_prime_q1",28,"997.55071376920000"
"near_prime_q1",29,"1045.14761089600000"
"near_prime_q1",30,"1059.71776076340000"
"near_prime_q1",31,"1073.50837423880000"
"near_prime_q1",32,"1119.86008484160000"
"near_prime_q1",33,"1123.52300802560000"
"near_prime_q1",34,"1156.94640193990000"
"near_prime_q1",35,"1224.97882510620000"
"near_prime_q1",36,"1243.92896530890000"
"near_prime_q1",37,"1260.56740454190000"
"near_prime_q1",38,"1277.59160065280000"
"near_prime_q1",39,"1291.19750361930000"
"near_prime_q1",40,"1287.83896164370000"
"near_prime_q1",41,"1292.93376192000000"
"near_prime_q1",42,"1298.03680028880000"
"near_prime_q1",43,"1319.77117232080000"
"near_prime_q1",44,"1325.02571249160000"
"near_prime_q1",45,"1324.91227894530000"
"near_prime_q1",46,"1331.36027198370000"
"near_prime_q1",47,"1322.72682649360000"
"near_prime_q1",48,"1342.92533336500000"
"near_prime_q1",49,"1356.49729822760000"
"near_prime_q1",50,"1364.46416733790000"
"near_prime_q1",51,"1360.44468817600000"
"near_prime_q1",52,"1344.66539467610000"
"near_prime_q1",53,"1331.01996954420000"
"near_prime_q1",54,"1334.37558637600000"
"near_prime_q1",55,"1327.22357316780000"
"near_prime_q1",56,"1323.50587636860000"
"near_prime_q1",57,"1331.49748306260000"
"near_prime_q1",58,"1323.93550096380000"
"near_prime_q1",59,"1320.46554978870000"
"near_prime_q1",60,"1312.34533603410000"
"near_prime_q1",61,"1330.92256804780000"
"near_prime_q1",62,"1325.52125354580000"
"near_prime_q1",63,"1321.64304746880000"
"near_prime_q1",64,"1332.13502363440000"
"near_prime_q1",65,"1341.33632121000000"
"near_prime_q1",66,"1348.87807210870000"
"near_prime_q1",67,"1351.30303333410000"
